candidate,family,strategy,params,cv_pr_auc_mean,cv_pr_auc_std,cv_roc_auc_mean,cv_brier_mean,cv_folds,fit_seconds
xgboost__scale_pos_weight,xgboost,scale_pos_weight,"{""learning_rate"": 0.04, ""max_depth"": 5, ""n_estimators"": 280}",0.8132991600604947,0.004182443405107402,0.9616455440533079,0.0006551162906778949,3,3.6481429710001976
xgboost__scale_pos_weight,xgboost,scale_pos_weight,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 280}",0.7967917718356577,0.01213383187186325,0.9643769877551788,0.0014099515068751896,3,2.5067924420000054
balanced_random_forest__balanced_bootstrap,balanced_random_forest,balanced_bootstrap,"{""max_depth"": 10, ""n_estimators"": 220}",0.7884903764479554,0.012103359877394783,0.9687583894986633,0.013851212201293811,3,5.311537839999801
balanced_random_forest__balanced_bootstrap,balanced_random_forest,balanced_bootstrap,"{""max_depth"": null, ""n_estimators"": 220}",0.787366857747588,0.012481705996754234,0.9684113310305573,0.013952306645198491,3,5.363387415000034
lightgbm__scale_pos_weight,lightgbm,scale_pos_weight,"{""min_child_samples"": 40, ""n_estimators"": 280, ""num_leaves"": 31}",0.7843562948164552,0.026011027905087483,0.9423947519357022,0.0008119639782225959,3,4.060180107999713
logistic__smote,logistic,smote,"{""C"": 0.1, ""sampling_strategy"": 0.03}",0.7678138391236743,0.06371727133263463,0.949443034179723,0.0008324621037640348,3,2.9166886809998687
logistic__smote,logistic,smote,"{""C"": 1.0, ""sampling_strategy"": 0.03}",0.7566140285767998,0.07963996518438463,0.9478294262416354,0.000863697990235061,3,3.8122224339999775
lightgbm__scale_pos_weight,lightgbm,scale_pos_weight,"{""min_child_samples"": 40, ""n_estimators"": 280, ""num_leaves"": 15}",0.752650528586721,0.06819955589789733,0.9421613153353614,0.0008395265500697616,3,3.7844195389998276
logistic__smote,logistic,smote,"{""C"": 0.1, ""sampling_strategy"": 0.01}",0.7514236577102832,0.08010619262538363,0.9465602705740624,0.0008083127483794233,3,2.3061258689999704
logistic__smote,logistic,smote,"{""C"": 1.0, ""sampling_strategy"": 0.01}",0.7331726190203446,0.10045540648704462,0.944308357572505,0.000859017732501008,3,3.7046638769998026
easy_ensemble__random_under_sampling,easy_ensemble,random_under_sampling,"{""n_estimators"": 8}",0.7284216651597436,0.01407787506812341,0.9633343611212561,0.12657568792511584,3,4.132908557000064
logistic__class_weight,logistic,class_weight,"{""C"": 0.2}",0.7037622292725537,0.08074400561995802,0.9521587406116817,0.015459991048526982,3,3.2013739020003413
logistic__class_weight,logistic,class_weight,"{""C"": 0.05}",0.7034062652888101,0.088532939148365,0.9564344459527794,0.015584368599167274,3,3.307223246000376
logistic__class_weight,logistic,class_weight,"{""C"": 1.0}",0.7026289785575512,0.07170745857299214,0.947275761510387,0.015460672990781557,3,3.7427578359997824
logistic__unweighted,logistic,unweighted,"{""C"": 0.1}",0.6522321924515736,0.05653398696315116,0.9443338752831524,0.000993654254040783,3,1.8719409129998894
logistic__unweighted,logistic,unweighted,"{""C"": 1.0}",0.6181090829489123,0.07468597091707746,0.9390827403677448,0.0010492730660220941,3,2.3046960679998847
